Time,bedtime,waketime,inBed,awake,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-01-05T21:59:59+09:00,2021-01-05 04:31:00,2021-01-05 09:57:00,05:26:00,00:00:00,05:26:00,05:26:00,100.0,100.0,04:27:12,04:27:12,02:13:22,02:13:22,64.2,64.2,89.3,93.4,60.0,60.0,46,46
2021-01-06T21:59:59+09:00,2021-01-06 02:58:00,2021-01-06 13:02:00,10:04:00,02:31:00,07:33:00,06:29:30,75.0,87.5,06:01:45,05:14:28,03:23:04,02:48:13,70.4,67.3,96.5,94.4,74.0,67.0,38,42
2021-01-07T21:59:59+09:00,2021-01-07 02:00:00,2021-01-07 09:44:00,07:44:00,00:00:00,07:44:00,06:54:20,100.0,91.7,06:42:36,05:43:51,03:44:31,03:06:59,70.7,68.4,91.5,93.7,65.0,66.3,48,44
2021-01-08T21:59:59+09:00,2021-01-08 01:40:00,2021-01-08 09:26:00,07:46:00,00:00:00,07:46:00,07:07:15,100.0,93.8,07:14:44,06:06:34,04:55:08,03:34:01,68.7,68.5,96.5,94.3,70.0,67.2,34,42
2021-01-09T21:59:59+09:00,2021-01-09 03:30:00,2021-01-09 07:31:00,04:01:00,00:00:00,04:01:00,06:30:00,100.0,95.0,03:54:43,05:40:12,02:45:41,03:24:21,72.4,69.3,95.1,94.4,68.0,67.4,22,38
2021-01-10T21:59:59+09:00,2021-01-10 02:16:00,2021-01-10 12:47:00,10:31:00,01:19:00,09:12:00,06:57:00,87.5,93.7,07:39:05,06:00:01,03:04:00,03:20:57,76.4,70.5,,,73.0,68.3,49,40
2021-01-11T21:59:59+09:00,2021-01-11 00:00:00,2021-01-11 17:15:00,17:15:00,00:00:00,17:15:00,08:25:17,100.0,94.6,,,,,,,101.9,95.5,88.0,71.1,13,36
2021-01-12T21:59:59+09:00,2021-01-12 04:18:00,2021-01-12 09:48:00,05:30:00,00:00:00,05:30:00,08:25:51,100.0,94.6,04:42:22,05:48:55,01:45:00,03:07:15,70.3,70.4,91.0,94.5,67.0,72.1,35,34
2021-01-13T21:59:59+09:00,2021-01-13 02:28:00,2021-01-13 12:45:00,10:17:00,04:11:00,06:06:00,08:13:25,59.3,92.4,05:43:10,05:59:46,03:33:30,03:18:42,70.5,71.3,89.1,94.5,60.0,70.1,97,43
2021-01-14T21:59:59+09:00,2021-01-14 03:00:00,2021-01-14 10:20:00,07:20:00,00:06:00,07:14:00,08:09:08,98.6,92.2,06:28:29,06:03:36,03:37:00,03:20:41,66.9,70.8,90.6,93.7,65.0,70.1,50,43
2021-01-15T21:59:59+09:00,2021-01-15 02:01:00,2021-01-15 09:10:00,07:09:00,00:00:00,07:09:00,08:03:51,100.0,92.2,06:04:03,05:58:05,03:03:51,03:14:52,72.8,71.1,93.3,93.9,67.0,69.7,81,50
2021-01-16T21:59:59+09:00,2021-01-16 02:54:00,2021-01-16 10:16:00,07:22:00,00:00:00,07:22:00,08:32:34,100.0,92.2,06:32:45,05:52:05,03:33:23,03:03:12,72.7,71.7,90.6,93.1,65.0,69.3,62,55
2021-01-17T21:59:59+09:00,2021-01-17 03:14:00,2021-01-17 11:31:00,08:17:00,00:00:00,08:17:00,08:24:42,100.0,94.0,07:01:36,06:18:47,03:00:44,03:05:21,73.9,71.9,91.4,92.6,69.0,68.7,103,63
2021-01-18T21:59:59+09:00,2021-01-18 02:16:00,2021-01-18 09:52:00,07:36:00,00:11:00,07:25:00,07:00:25,97.6,93.6,06:11:55,06:06:20,02:54:49,03:04:02,72.7,71.4,98.6,92.1,80.0,67.6,45,68
2021-01-19T21:59:59+09:00,2021-01-19 02:46:00,2021-01-19 09:02:00,06:16:00,00:00:00,06:16:00,07:07:00,100.0,93.6,05:01:03,06:09:00,02:00:19,03:06:13,75.0,72.1,93.9,92.5,75.0,68.7,40,68
2021-01-20T21:59:59+09:00,2021-01-20 01:48:00,2021-01-20 08:09:00,06:21:00,00:01:00,06:20:00,07:09:00,99.7,99.4,05:36:36,06:08:04,03:34:47,03:06:24,77.2,73.0,95.4,93.4,72.0,70.4,31,59
2021-01-21T21:59:59+09:00,2021-01-21 03:24:00,2021-01-21 08:55:00,05:31:00,00:00:00,05:31:00,06:54:17,100.0,99.6,05:08:15,05:56:36,02:53:23,03:00:10,79.6,74.8,96.5,94.3,80.0,72.6,34,56
2021-01-22T21:59:59+09:00,2021-01-22 01:39:00,2021-01-22 09:00:00,07:21:00,00:01:00,07:20:00,06:55:51,99.8,99.6,06:31:11,06:00:28,03:40:00,03:05:20,75.5,75.2,98.6,95.0,71.0,73.1,26,49
2021-01-23T21:59:59+09:00,2021-01-23 02:08:00,2021-01-23 08:46:00,06:38:00,00:00:00,06:38:00,06:49:34,100.0,99.6,06:07:49,05:56:55,04:04:55,03:09:51,77.4,75.9,98.6,96.1,72.0,74.1,33,44
