,ranks,title,singer,genre
0,1,"
자니 (Feat. Dynamic Duo)
",프라이머리,랩/힙합
1,2,"
눈물 (Feat. 유진 Of 더 씨야)
",리쌍,랩/힙합
2,3,"
NoNoNo
",Apink (에이핑크),댄스
3,4,"
눈물샤워 (Feat. 에일리)
",배치기,랩/힙합
4,5,"
? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)
",프라이머리,랩/힙합
5,6,"
Give It To Me
",씨스타,댄스
6,7,"
이름이 뭐예요?
",4minute,댄스
7,8,"
모노드라마 (With 유승우)
",허각,발라드
8,9,"
My Love
",이승철,발라드
9,10,"
있다 없으니까 (Gone Not Around Any Longer)
",씨스타19,댄스
10,11,"
미친연애 (Bad Girl) (Feat. E-Sens Of 슈프림팀)
",범키,R&B/Soul
11,12,"
으르렁 (Growl)
",EXO,댄스
12,13,"
거북이
",다비치,발라드
13,14,"
GENTLEMAN
",싸이 (PSY),댄스
14,15,"
Officially Missing You, Too
","긱스 (Geeks), 소유 (SOYOU)",발라드
15,16,"
봄봄봄
",로이킴,포크/블루스
16,17,"
Touch Love
",윤미래,"발라드, R&B/Soul, 국내드라마"
17,18,"
아는사람 얘기
",San E,랩/힙합
18,19,"
U & I
",에일리(Ailee),댄스
19,20,"
BAAAM (Feat. Muzie Of UV)
",다이나믹 듀오,랩/힙합
20,21,"
착해 빠졌어 (Stupid In Love)
","소유 (SOYOU), 매드클라운",랩/힙합
21,22,"
빠빠빠
",크레용팝,댄스
22,23,"
녹는 중 (Feat. 버벌진트)
",다비치,발라드
23,24,"
짧은머리
","허각, 정은지",발라드
24,25,"
벚꽃 엔딩
",버스커 버스커,록/메탈
25,26,"
처음엔 사랑이란게
",버스커 버스커,록/메탈
26,27,"
오늘따라 보고싶어서 그래
",다비치,발라드
27,28,"
오늘 밤 (Feat. 배치기)
",린,발라드
28,29,"
청혼하는 거예요
",포맨 (4MEN),발라드
29,30,"
Crescendo (크레셴도)
",AKMU (악뮤),댄스
30,31,"
Love Blossom (러브블러썸)
",케이윌,발라드
31,32,"
씨스루 (Feat. Zion.T, 개코 Of 다이나믹듀오)
",프라이머리,랩/힙합
32,33,"
갖고놀래 (Feat. 다이나믹 듀오)
",범키,R&B/Soul
33,34,"
삐딱하게 (Crooked)
",G-DRAGON,랩/힙합
34,35,"
I Love You
",AKMU (악뮤),"록/메탈, 국내드라마"
35,36,"
기대해
",걸스데이,댄스
36,37,"
안녕 나야
",포맨 (4MEN),발라드
37,38,"
분홍신
",아이유,댄스
38,39,"
나란놈이란
",임창정,발라드
39,40,"
Wash Away (Feat. 에일리)
",긱스 (Geeks),랩/힙합
40,41,"
니가 뭔데 (Who You?)
",G-DRAGON,랩/힙합
41,42,"
눈꽃
",거미,"발라드, 국내드라마"
42,43,"
꼭 한번 만나고 싶다
",바이브,발라드
43,44,"
Bounce
",조용필,록/메탈
44,45,"
I Got A Boy
",소녀시대 (GIRLS' GENERATION),댄스
45,46,"
겨울사랑
",The One (더원),"발라드, 국내드라마"
46,47,"
잘할 걸
",버스커 버스커,록/메탈
47,48,"
미치게 만들어
",효린,"발라드, 국내드라마"
48,49,"
All Right
",김예림 (Lim Kim),록/메탈
49,50,"
어때 (Feat. 하림)
",긱스 (Geeks),랩/힙합
50,51,"
넌 너무 야해 (Feat. 긱스) (The Way You Make Me Melt)
",씨스타,발라드
51,52,"
첫 사랑니 (Rum Pum Pum Pum)
",f(x),댄스
52,53,"
YooHoo (유후)
",시크릿,댄스
53,54,"
Rose
",이하이,R&B/Soul
54,55,"
너 하나야
",포맨 (4MEN),"발라드, 국내드라마"
55,56,"
I'm Sorry
",CNBLUE (씨엔블루),록/메탈
56,57,"
너에게
",성시경,"발라드, 국내드라마"
57,58,"
가수가 된 이유
",신용재 (2F),발라드
58,59,"
Be OK (Feat. 배치기)
",유성은,R&B/Soul
59,60,"
Black (Feat. 제니 of BLACKPINK)
",G-DRAGON,랩/힙합
60,61,"
1440
",허각,발라드
61,62,"
사랑은 타이밍
",버스커 버스커,록/메탈
62,63,"
강북멋쟁이
",정형돈,댄스
63,64,"
Shadow (그림자)
",비스트,댄스
64,65,"
내일은 없어
",트러블메이커,댄스
65,66,"
그리고 하나
",태연 (TAEYEON),"발라드, 국내드라마"
66,67,"
Falling In Love
",2NE1,랩/힙합
67,68,"
되돌리다
",이승기,발라드
68,69,"
여자 대통령
",걸스데이,댄스
69,70,"
촌스럽게 왜 이래 (You Don't Know Love)
",케이윌,발라드
70,71,"
미스터리 (Feat. San E)
",박지윤,댄스
71,72,"
눈물이 맘을 훔쳐서
",에일리(Ailee),"발라드, 국내드라마"
72,73,"
외국인의 고백
",AKMU (악뮤),포크/블루스
73,74,"
Bad Girls
",이효리,댄스
74,75,"
24시간이 모자라
",선미,댄스
75,76,"
잘 있나요
",The One (더원),"발라드, 국내드라마"
76,77,"
혼자라고 생각말기 (슈퍼스타 K5 송희진 오디션 참가곡)
",김보경 (NEON),발라드
77,78,"
미스코리아
",이효리,댄스
78,79,"
어느 봄날
",2am,발라드
79,80,"
이게 사랑이 아니면 (Feat. 에일리)
",버벌진트,랩/힙합
80,81,"
바람기억
",나얼,R&B/Soul
81,82,"
예뻐 예뻐
",레이디스 코드,댄스
82,83,"
싫다
",백지영,발라드
83,84,"
Hush
",미쓰에이,댄스
84,85,"
카페인 (Feat. 용준형 Of BEAST)
",양요섭,발라드
85,86,"
바빠 (Bad Boy)
",씨스타,댄스
86,87,"
편지
",다비치,발라드
87,88,"
콩떡빙수
",AKMU (악뮤),"댄스, 일렉트로니카"
88,89,"
해볼라고
",형용돈죵 (정형돈 & G-DRAGON),댄스
