"		지점번호",지점명,일시,평균기온,평균최고기온,최고기온,최고기온일자,평균최저기온,최저기온,최저기온일자
"		108",서울,1월,-2.4,2.2,13.9,2021.1.25,-6.8,-18.6,2021.1.8
"		108",서울,2월,2.7,7.9,17.4,2021.2.21,-2.2,-10.6,2021.2.18
"		108",서울,3월,9,14.8,22.9,2021.3.31,4.3,-1.2,2021.3.3
"		108",서울,4월,14.2,19.5,28.2,2021.4.21,9.5,3.1,2021.4.14
"		108",서울,5월,17.1,21.9,30.8,2021.5.14,12.8,7.3,2021.5.2
"		108",서울,6월,22.8,27.6,31.6,2021.6.9,18.9,13.3,2021.6.4
"		108",서울,7월,28.1,32.2,36.5,2021.7.24,24.6,19.6,2021.7.3
"		108",서울,8월,25.9,29.7,33.7,2021.8.5,22.8,18.1,2021.8.31
"		108",서울,9월,22.6,26.9,30.3,2021.9.13,18.8,16,2021.9.30
"		108",서울,10월,15.6,20.5,28.8,2021.10.3,11.6,1.3,2021.10.17
"		108",서울,11월,8.2,13.1,21.3,2021.11.7,4,-3.7,2021.11.23
"		108",서울,12월,0.6,5.1,13.3,2021.12.8,-3.5,-15.5,2021.12.26
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
