"		지점번호",지점명,일시,평균기온,평균최고기온,최고기온,"	최고기온일자",평균최저기온,최저기온,최저기온일자
"		152",울산,1월,2.1,6.8,16.3,2021.1.15,-2.6,-12.2,2021.1.8
"		152",울산,2월,6.5,11.9,23.9,2021.2.22,1.6,-7.9,2021.2.18
"		152",울산,3월,10.5,15.4,21.9,2021.3.28,5.9,-0.8,2021.3.3
"		152",울산,4월,13.8,19,25.7,2021.4.21,9.1,3.1,2021.4.10
"		152",울산,5월,17.8,22.7,30.5,2021.5.23,13.1,7.2,2021.5.3
"		152",울산,6월,21.7,25.8,29.8,2021.6.7,18.2,14.1,2021.6.1
"		152",울산,7월,25.9,29.8,34.2,2021.7.30,22.8,19.2,2021.7.1
"		152",울산,8월,25.3,29.2,33.7,2021.8.7,22.5,19.9,2021.8.20
"		152",울산,9월,22.1,25.6,29.3,2021.9.11,19.5,16.5,2021.9.24
"		152",울산,10월,17.1,22.1,30.5,2021.10.5,13,4.1,2021.10.17
"		152",울산,11월,11.1,16.6,21,2021.11.8,6.1,1.4,2021.11.28
"		152",울산,12월,4.7,9.8,16.6,2021.12.10,-0.1,-8.9,2021.12.26
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
