업소명,위도,경도,업태,시군구,소  재  지,전화번호 ,주메뉴
5시5막창팩토리,35.56916095,129.3430951,한식,중구,울산광역시 중구 곽남1길 26 지상1층 (남외동),052-297-8288,막창
궁중삼계탕,35.55466409,129.3198472,탕류(보신용),중구,울산광역시 중구 먹자거리 6 (성남동),052-244-1156,삼계탕/전복삼계탕/전복죽
진화복국,35.57237169,129.3141899,복어취급,중구,울산광역시 중구 함월6길 5-9 (성안동),052-211-4644,복국/매운탕/복수육/복불고기
지리산어탕국수,35.57292007,129.314292,한식,중구,울산광역시 중구 함월6길 5-3 (성안동),052-245-6677,어탕국수/황태찜/회
생생왕소금구이,35.56835195,129.3423511,한식,중구,울산광역시 중구 곽남길 11 (약사동),052-296-6677,삼겹살
금강장어구이,35.57063629,129.3494777,한식,중구,울산광역시 중구 산전길 8-1 지상2.3층 (남외동),052-297-9205,장어구이
다운목살구이식당,35.55644351,129.2764083,한식,중구,울산광역시 중구 운곡안길 9 (다운동),052-224-7979,목살구이
강원도해장국,35.58040007,129.3445238,한식,중구,울산광역시 중구 북부순환도로 864 (서동),052-294-9400,황태해장국/생태찌개
대가복집,35.55086107,129.2981302,복어취급,중구,울산광역시 중구 신기5길 9 (태화동),052-245-2666,복회/복샤브샤브
유가네닭갈비,35.55358731,129.3190658,한식,중구,울산광역시 중구 젊음의거리 42 (성남동),052-212-3392,닭갈비/철판볶음밥
강터참숯불집,34.96248777,126.5968516,식육(숯불구이),중구,울산광역시 중구 내오산로 3-1 (태화동),052-249-1799,돼지갈비/삼겹살
외갓집,35.5568511,129.3251576,한식,중구,울산광역시 중구 옥골샘2길 5 (학산동),052-246-2352,돌솥정식/영양갈비찜
황토방가든,35.58191344,129.3023749,한식,중구,울산광역시 중구 성동1길 74 (성안동),052-243-7500,오리불고기/백숙
금강산숯불생고기,35.5581121,129.3435233,한식,중구,울산광역시 중구 반구정14길 17 (반구동),052-292-1746,돼지갈비/삼겹살
병영나들목,35.57076891,129.3487662,한식,중구,울산광역시 중구 산전길 7 지상2층 (남외동),052-281-0833,짬뽕(돼지+낙지)/낙지볶음/닭볶음탕
초원숯불갈비,35.55352301,129.3194436,한식,중구,울산광역시 중구 젊음의1거리 15 (성남동),052-243-5419,돼지갈비/삼겹살
솔밭가든,35.5812643,129.321038,한식,중구,울산광역시 중구 함월20길 65 (성안동 외1필지),052-243-5292,오리불고기/장어구이
메밀꽃필무렵,35.3869562,126.7961809,분식,중구,울산광역시 중구 내오산로 35 (태화동),052-224-2434,메밀국수
고운정,35.57860395,129.3240773,한식,중구,울산광역시 중구 성안15길 63 (성안동),052-248-5292,갈비살/꽃등심/생오리숯불구이
김명자굴국밥성안점,35.57371703,129.3156257,한식,중구,울산광역시 중구 성안로 148 (성안동),052-243-9970,굴국밥/생굴회
대박터숯불촌,35.55509111,129.3300489,한식,중구,울산광역시 중구 구교로 52 (학산동),052-285-2070,삼겹살/돼지갈비
장수삼계탕,35.56169893,129.3305882,한식,중구,울산광역시 중구 계변로 69 (복산동),052-282-9282,삼계탕/백숙
계성,35.5726274,129.3121737,한식,중구,울산광역시 중구 함월1길 24 (성안동),052-243-3535,삼계탕/오리불고기/오리탕
옹심이칼국수,35.57846863,129.3229694,분식,중구,울산광역시 중구 백양로 182 (성안동),052-243-1121,옹심이칼국수/감자전/감자송편
물참면옥,35.57513443,129.310019,분식,중구,울산광역시 중구 함월17길 26 (성안동),052-243-3390,냉면
김영희강남동태찜,35.5733368,129.3157317,한식,중구,울산광역시 중구 백양로 88 지상1층 (성안동),052-248-1007,동태탕/황태찜
목토숯불갈비,35.56462504,129.344802,한식,중구,울산광역시 중구 해오름8길 65 (남외동 (지상1층)),052-298-9592,삼겹살/쌈밥
대어,35.57573998,129.3095389,회집,중구,울산광역시 중구 함월로 11 A동 (성안동),052-243-7886,생선회
동천컨벤션,35.56232459,129.3481433,뷔페식,중구,울산광역시 중구 염포로 55 (남외동 남외운동장내),052-282-3000,뷔페
조마루뼈다귀,35.56812608,129.3420122,한식,중구,울산광역시 중구 번영로 549 (약사동),052-285-2220,뼈다귀해장국/감자탕
천금,35.58102086,129.3240977,한식,중구,울산광역시 중구 성안로 267 (성안동 (1층)),052-242-0456,돼지고기구이
풍천가,35.5659917,129.351212,한식,중구,울산광역시 중구 남외2길 26 2층 (남외동),052-286-0592,민물장어/간장게장
